,npi,nppes_provider_first_name,nppes_provider_last_org_name,opioid_claims,county,prescriber
29044,1912011792,DAVID,COFFEY,9275.0,SCOTT,David Coffey
28715,1891915047,JUSTIN,KINDRICK,8405.0,CUMBERLAND,Justin Kindrick
14364,1447608211,SHARON,CATHERS,7274.0,KNOX,Sharon Cathers
17239,1538428230,MICHELLE,PAINTER,5709.0,SULLIVAN,Michelle Painter
30641,1962406793,RICHARD,CLARK,5607.0,FENTRESS,Richard Clark
30642,1962406793,RICHARD,CLARK,5607.0,PICKETT,Richard Clark
19476,1609879527,JAMES,LADSON,5423.0,RUTHERFORD,James Ladson
19075,1598746554,DWIGHT,WILLETT,5221.0,ROANE,Dwight Willett
27728,1861892424,ALICIA,TAYLOR,5088.0,CAMPBELL,Alicia Taylor
29825,1932279429,AMY,BOWSER,4979.0,SUMNER,Amy Bowser
24062,1750578878,JENNIFER,GREEN,4979.0,KNOX,Jennifer Green
